order	family	genus	species	binomial	bmass	blength	homerangekm2	homerangeindkm2	popdens.n-km2	gr_area-km2	gr_maxlat-dd
Soricomorpha	Soricidae	Crocidura	russula	Crocidura russula	9.89	69.29	0.000165903	0.000235	8850	3344352.67	53.24
Rodentia	Heteromyidae	Perognathus	inornatus	Perognathus inornatus	10.16	72.23	0.000176546	0.000177373	499.99	73899.38	39.75
Rodentia	Cricetidae	Neotoma	albigula	Neotoma albigula	208.18	175.47	0.000197477	0.000279725	610.11	1897368.42	39.02
Rodentia	Cricetidae	Neotoma	micropus	Neotoma micropus	255.14	212.68	0.000200287	0.000209499	2520.91	1066968.81	38.38
Soricomorpha	Soricidae	Sorex	caecutiens	Sorex caecutiens	6.3	66.12	0.000203282	0.000204235	1643.9	18629008.69	72.88
Rodentia	Muridae	Mus	spretus	Mus spretus	16.67	-999	0.000203629	0.000170817	-999	979425.1	42.49
Rodentia	Bathyergidae	Georychus	capensis	Georychus capensis	188.36	-999	0.000212281	0.000199157	1100	145197.2	-25.41
Rodentia	Geomyidae	Geomys	attwateri	Geomys attwateri	144.06	153.54	0.000214131	0.000174521	2024.94	56381.49	30.94
Rodentia	Cricetidae	Microtus	ochrogaster	Microtus ochrogaster	42.5	121.87	0.000255014	0.000308478	8990.59	3234309.14	55.99
Rodentia	Cricetidae	Microtus	pennsylvanicus	Microtus pennsylvanicus	42.53	117.93	0.000277446	0.000255843	2537.98	11959647.25	70.25
Rodentia	Cricetidae	Microtus	richardsoni	Microtus richardsoni	85.5	154.66	0.000285368	0.000253734	620	860149.48	54.01
Rodentia	Sciuridae	Spermophilus	beecheyi	Spermophilus beecheyi	597.82	-999	0.000293039	0.000299278	1100.45	459262.56	46.92
Soricomorpha	Soricidae	Sorex	coronatus	Sorex coronatus	9.32	72.99	0.0003073	0.000373777	1345.01	872337.52	53.76
Rodentia	Heteromyidae	Dipodomys	ingens	Dipodomys ingens	113.61	147.83	0.000314541	0.000292998	3868.35	6724.92	36.92
Soricomorpha	Soricidae	Sorex	gracillimus	Sorex gracillimus	4.4	53.5	0.000316461	0.000272981	-999	717756.02	54.41
Rodentia	Heteromyidae	Perognathus	flavescens	Perognathus flavescens	9.21	69.29	0.000329061	0.000330603	-999	1544925.8	47.87
Afrosoricida	Chrysochloridae	Amblysomus	hottentotus	Amblysomus hottentotus	62.6	121.49	0.000334208	0.000462683	1000	256161.76	-26.13
Rodentia	Cricetidae	Baiomys	taylori	Baiomys taylori	7.43	63.9	0.000384598	0.000411199	2464.99	1097470.53	33.89
Rodentia	Muridae	Taterillus	pygargus	Taterillus pygargus	60.19	-999	0.000415138	0.000529457	3000	135754.05	16.85
Soricomorpha	Soricidae	Sorex	araneus	Sorex araneus	9.18	72.78	0.000446055	0.000524404	1859.01	14302732.12	71.13
Rodentia	Cricetidae	Abrothrix	olivaceus	Abrothrix olivaceus	24.52	96.69	0.000448137	0.000464461	3211.81	915499.44	-18.48
Rodentia	Cricetidae	Myodes	gapperi	Myodes gapperi	19.83	101.13	0.000463061	0.000553703	1186.41	8361723.49	62.43
Rodentia	Muridae	Acomys	russatus	Acomys russatus	42.35	111.08	0.000488186	0.000448138	3487.07	800320.84	33.09
Rodentia	Muridae	Mastacomys	fuscus	Mastacomys fuscus	125.72	166.26	0.000491678	0.000461282	-999	110002.92	-32.56
Rodentia	Heteromyidae	Dipodomys	spectabilis	Dipodomys spectabilis	124.61	141.14	0.000506179	0.000717	397.71	525470.85	36.96
