id	idpaper	data	fam	sp	spcode	marker	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	diverhaplot	divernucleot	genetdiff	AllelesLocus	Porcpoliloci 	AllelicRichness	FIS 	phi_FT	seedwt
a126	125	duminil	Annonaceae	Annona crassiflora	NA	NA	Tree	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.1900	NA	NA	NA	NA	NA	NA
a127	126	duminil	Myrtaceae	Eugenia dysenterica	NA	NA	Tree	mammals	ma	md	NA	NA	NA	NA	NA	NA	0.2600	NA	NA	NA	NA	NA	NA
a128	127	duminil	Solanaceae	Solanum lycocarpum	NA	NA	Herb	mammals	ma	mi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a129	128	duminil	Myrtaceae	Myrciaria floribunda	NA	NA	Tree	birds	ma	b	NA	NA	NA	NA	NA	NA	0.0970	NA	NA	NA	NA	NA	NA
a130	129	duminil	Bignoniaceae	Zeyheria montana	NA	NA	Creeper	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1600	NA	NA	NA	NA	NA	NA
a131	130	duminil	Mimosoidae	Plathymenia reticulata	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1600	NA	NA	NA	NA	NA	NA
a132	131	duminil	Asteraceae	Baccharis coccinna	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1700	NA	NA	NA	NA	NA	NA
a133	132	duminil	Annonaceae	Annona crassiflora	NA	NA	Shrub	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.1270	NA	NA	NA	NA	NA	NA
a134	133	duminil	Caryocaraceae	Caryocar brasiliensis	NA	NA	Tree	mammals	ma	md	NA	NA	NA	NA	NA	NA	0.0700	NA	NA	NA	NA	NA	NA
a135	134	duminil	NA	Copaifera langsdorffii	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a136	135	duminil	Bombacaceae	Chorisia speciosa	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.2730	NA	NA	NA	NA	NA	NA
